TotalCheckouts|Title|CallNumber|Author|OwningLibrary|Publisher|CopyrightDate|DateLastBorrowed|itype|ItemCode
20|Invisible hands|DVD-ED 331.31 INVISIB|NULL|LSP|First Run Features,|2018|2020-02-05 12:05:12|DVD Educational|NULL
3|Debbie Macomber's table : sharing the joy of cooking with family and friends.|641.5 MACOMBE|Macomber, Debbie, author.|CLI|NULL|2018|2020-02-04 10:15:03|NULL|NULL
1|The big, big wall|E HOWARD|Howard, Reginald.|MCR|NULL|2001|2020-02-13 07:34:49|NULL|NULL
3|Discover Mercury|J 523.41 BETH|Beth, Georgia, author.|STA|Lerner Publications,|2019|2019-09-20 10:17:09|Juvenile Nonfiction|NULL
13|Dragons. Race to the edge. Season four|DVD DRAGONS|NULL|MCR|Universal Pictures Home Entertainment,|2019|2020-02-09 17:17:40|NULL|NULL
4|Miracles in Maggody|eBOOK OVERDRI|Hess, Joan.|PUBLIC|NULL|2016|2020-02-02 21:34:53|Ebook|Electronic Resource
3|Fantasy in death|FIC ROBB|Robb, J. D., 1950-|EDM|NULL|2010|2019-12-19 12:25:23|NULL|NULL
3|Loving Cara|eAUDIO OVERDRI|Proby, Kristen, author.|PUBLIC|Pocket Books,|2014|2020-02-08 14:58:47|Ebook|Electronic Resource
3|Murder in Calico Gold : a Cedar Bay cozy mystery|FIC HARMAN|Harman, Dianne, 1953- author.|ARL|Dianne Harman,|2015|2020-01-30 10:36:19|NULL|NULL
4|Refining Felicity|eBOOK OVERDRI|Beaton, M. C.|PUBLIC|NULL|2011|2020-02-11 09:53:26|Ebook|Electronic Resource
6|Queen for a day|J DOUGHER|Dougherty, Brandi, author.|MCR|Random House,|2017|2019-12-23 17:30:28|Juvenile Fiction|Book
2|Danger Is Everywhere: A Handbook for Avoiding Danger|eAUDIO OVERDRI|O'Doherty, David|PUBLIC|NULL|2014|2019-10-11 04:16:32|Ebook|NULL
2|This Book Will Not Be on the Test|eBOOK OVERDRI|Rivas, Paul Smith|PUBLIC|NULL|2019|2020-02-10 02:42:16|Ebook|NULL
8|The gilded wolves|TEEN CHOKSHI|Chokshi, Roshani, author.|MNR|Wednesday Books,|2019|2020-02-09 14:43:20|Teen Fiction|Book
6|The apartment : a novel|FIC STEEL|Steel, Danielle, author.|SNO|NULL|2016|2020-02-06 15:21:13|Fiction|NULL
15|The girl who drank the moon|J BARNHIL|Barnhill, Kelly Regan, author.|FRE|Algonquin Young Readers,|2016|2020-02-11 11:56:20|NULL|NULL
